WeatherStationName,DateTime,ParkingStationId,TotalParkingSpaces,VehicleParked,AvailableSpaces,Long,Lat,HourlyRate,RoadSurfaceTemperature,AirTemperature,Time,Weekday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,11133,7,5,2,-122.348131248806,47.6198152776076,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,11134,3,3,0,-122.348443468901,47.6196683754978,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,33741,4,2,2,-122.347159748898,47.6198199748662,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,33742,8,1,7,-122.347027756291,47.6196550076465,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,35693,7,7,0,-122.346455753483,47.6193164388193,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,35693,7,7,0,-122.34645851941,47.6189989223857,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,35694,6,3,3,-122.346152129423,47.6192604832218,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,51493,5,3,2,-122.349055445585,47.619069847175,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,51494,18,11,7,-122.348785668433,47.618961521551,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,53133,11,3,8,-122.345164598827,47.6193596557764,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,53134,7,3,4,-122.344848491468,47.6195633211482,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,53134,7,3,4,-122.344847912428,47.6188420205214,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,53137,17,4,13,-122.3451529985,47.620056801059,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,53138,18,6,12,-122.344828569664,47.6200022045379,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,56345,7,5,2,-122.345588917079,47.6198252572581,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,56346,3,0,3,-122.34573207577,47.6196393536138,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,58381,18,3,15,-122.346460765393,47.6201565250716,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,58382,26,0,26,-122.346124710418,47.6200964307749,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,79021,3,0,3,-122.344429019023,47.6198210239641,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 08:00:00,79022,6,3,3,-122.344470862351,47.6196347533188,1.5,54.03,53.48,8,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,11133,7,6,1,-122.348131248806,47.6198152776076,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,11134,3,1,2,-122.348443468901,47.6196683754978,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,33741,4,1,3,-122.347159748898,47.6198199748662,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,33742,8,0,8,-122.347027756291,47.6196550076465,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,35693,7,6,1,-122.346455753483,47.6193164388193,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,35693,7,6,1,-122.34645851941,47.6189989223857,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,35694,6,3,3,-122.346152129423,47.6192604832218,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,51493,5,3,2,-122.349055445585,47.619069847175,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,51494,18,9,9,-122.348785668433,47.618961521551,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,53133,11,6,5,-122.345164598827,47.6193596557764,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,53134,7,6,1,-122.344848491468,47.6195633211482,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,53134,7,6,1,-122.344847912428,47.6188420205214,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,53137,17,4,13,-122.3451529985,47.620056801059,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,53138,18,6,12,-122.344828569664,47.6200022045379,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,56345,7,4,3,-122.345588917079,47.6198252572581,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,56346,3,0,3,-122.34573207577,47.6196393536138,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,58381,18,4,14,-122.346460765393,47.6201565250716,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,58382,26,0,26,-122.346124710418,47.6200964307749,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,79021,3,0,3,-122.344429019023,47.6198210239641,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 09:00:00,79022,6,2,4,-122.344470862351,47.6196347533188,1.5,58.27,55.74,9,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,11133,7,7,0,-122.348131248806,47.6198152776076,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,11134,3,3,0,-122.348443468901,47.6196683754978,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,33741,4,2,2,-122.347159748898,47.6198199748662,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,33742,8,0,8,-122.347027756291,47.6196550076465,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,35693,7,6,1,-122.346455753483,47.6193164388193,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,35693,7,6,1,-122.34645851941,47.6189989223857,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,35694,6,5,1,-122.346152129423,47.6192604832218,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,51493,5,3,2,-122.349055445585,47.619069847175,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,51494,18,16,2,-122.348785668433,47.618961521551,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,53133,11,5,6,-122.345164598827,47.6193596557764,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,53134,7,7,0,-122.344848491468,47.6195633211482,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,53134,7,7,0,-122.344847912428,47.6188420205214,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,53137,17,4,13,-122.3451529985,47.620056801059,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,53138,18,6,12,-122.344828569664,47.6200022045379,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,56345,7,4,3,-122.345588917079,47.6198252572581,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,56346,3,1,2,-122.34573207577,47.6196393536138,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,58381,18,10,8,-122.346460765393,47.6201565250716,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,58382,26,1,25,-122.346124710418,47.6200964307749,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,79021,3,0,3,-122.344429019023,47.6198210239641,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 10:00:00,79022,6,2,4,-122.344470862351,47.6196347533188,1.5,63.16,55.24,10,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,11133,7,7,0,-122.348131248806,47.6198152776076,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,11134,3,3,0,-122.348443468901,47.6196683754978,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,33741,4,4,0,-122.347159748898,47.6198199748662,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,33742,8,3,5,-122.347027756291,47.6196550076465,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,35693,7,8,0,-122.346455753483,47.6193164388193,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,35693,7,8,0,-122.34645851941,47.6189989223857,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,35694,6,7,0,-122.346152129423,47.6192604832218,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,51493,5,4,1,-122.349055445585,47.619069847175,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,51494,18,14,4,-122.348785668433,47.618961521551,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,53133,11,6,5,-122.345164598827,47.6193596557764,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,53134,7,5,2,-122.344848491468,47.6195633211482,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,53134,7,5,2,-122.344847912428,47.6188420205214,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,53137,17,4,13,-122.3451529985,47.620056801059,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,53138,18,7,11,-122.344828569664,47.6200022045379,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,56345,7,7,0,-122.345588917079,47.6198252572581,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,56346,3,4,0,-122.34573207577,47.6196393536138,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,58381,18,14,4,-122.346460765393,47.6201565250716,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,58382,26,10,16,-122.346124710418,47.6200964307749,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,79021,3,0,3,-122.344429019023,47.6198210239641,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 11:00:00,79022,6,4,2,-122.344470862351,47.6196347533188,1.5,67.25,54.52,11,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,11133,7,7,0,-122.348131248806,47.6198152776076,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,11134,3,3,0,-122.348443468901,47.6196683754978,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,33741,4,3,1,-122.347159748898,47.6198199748662,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,33742,8,7,1,-122.347027756291,47.6196550076465,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,35693,7,8,0,-122.346455753483,47.6193164388193,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,35693,7,8,0,-122.34645851941,47.6189989223857,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,35694,6,5,1,-122.346152129423,47.6192604832218,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,51493,5,4,1,-122.349055445585,47.619069847175,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,51494,18,17,1,-122.348785668433,47.618961521551,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,53133,11,9,2,-122.345164598827,47.6193596557764,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,53134,7,4,3,-122.344848491468,47.6195633211482,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,53134,7,4,3,-122.344847912428,47.6188420205214,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,53137,17,5,12,-122.3451529985,47.620056801059,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,53138,18,7,11,-122.344828569664,47.6200022045379,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,56345,7,6,1,-122.345588917079,47.6198252572581,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,56346,3,3,0,-122.34573207577,47.6196393536138,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,58381,18,13,5,-122.346460765393,47.6201565250716,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,58382,26,15,11,-122.346124710418,47.6200964307749,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,79021,3,1,2,-122.344429019023,47.6198210239641,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 12:00:00,79022,6,3,3,-122.344470862351,47.6196347533188,1.5,72.33,54.65,12,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,11133,7,6,1,-122.348131248806,47.6198152776076,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,11134,3,3,0,-122.348443468901,47.6196683754978,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,33741,4,4,0,-122.347159748898,47.6198199748662,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,33742,8,7,1,-122.347027756291,47.6196550076465,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,35693,7,8,0,-122.346455753483,47.6193164388193,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,35693,7,8,0,-122.34645851941,47.6189989223857,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,35694,6,4,2,-122.346152129423,47.6192604832218,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,51493,5,3,2,-122.349055445585,47.619069847175,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,51494,18,15,3,-122.348785668433,47.618961521551,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,53133,11,8,3,-122.345164598827,47.6193596557764,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,53134,7,4,3,-122.344848491468,47.6195633211482,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,53134,7,4,3,-122.344847912428,47.6188420205214,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,53137,17,6,11,-122.3451529985,47.620056801059,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,53138,18,10,8,-122.344828569664,47.6200022045379,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,56345,7,8,0,-122.345588917079,47.6198252572581,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,56346,3,3,0,-122.34573207577,47.6196393536138,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,58381,18,17,1,-122.346460765393,47.6201565250716,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,58382,26,14,12,-122.346124710418,47.6200964307749,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,79021,3,1,2,-122.344429019023,47.6198210239641,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 13:00:00,79022,6,4,2,-122.344470862351,47.6196347533188,1.5,74.23,55.15,13,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,11133,7,7,0,-122.348131248806,47.6198152776076,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,11134,3,3,0,-122.348443468901,47.6196683754978,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,33741,4,4,0,-122.347159748898,47.6198199748662,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,33742,8,7,1,-122.347027756291,47.6196550076465,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,35693,7,7,0,-122.346455753483,47.6193164388193,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,35693,7,7,0,-122.34645851941,47.6189989223857,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,35694,6,6,0,-122.346152129423,47.6192604832218,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,51493,5,4,1,-122.349055445585,47.619069847175,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,51494,18,18,0,-122.348785668433,47.618961521551,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,53133,11,8,3,-122.345164598827,47.6193596557764,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,53134,7,3,4,-122.344848491468,47.6195633211482,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,53134,7,3,4,-122.344847912428,47.6188420205214,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,53137,17,6,11,-122.3451529985,47.620056801059,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,53138,18,10,8,-122.344828569664,47.6200022045379,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,56345,7,8,0,-122.345588917079,47.6198252572581,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,56346,3,2,1,-122.34573207577,47.6196393536138,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,58381,18,16,2,-122.346460765393,47.6201565250716,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,58382,26,16,10,-122.346124710418,47.6200964307749,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,79021,3,2,1,-122.344429019023,47.6198210239641,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 14:00:00,79022,6,4,2,-122.344470862351,47.6196347533188,1.5,78.22,56.13,14,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,11133,7,6,1,-122.348131248806,47.6198152776076,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,11134,3,3,0,-122.348443468901,47.6196683754978,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,33741,4,4,0,-122.347159748898,47.6198199748662,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,33742,8,6,2,-122.347027756291,47.6196550076465,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,35693,7,8,0,-122.346455753483,47.6193164388193,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,35693,7,8,0,-122.34645851941,47.6189989223857,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,35694,6,6,0,-122.346152129423,47.6192604832218,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,51493,5,4,1,-122.349055445585,47.619069847175,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,51494,18,16,2,-122.348785668433,47.618961521551,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,53133,11,9,2,-122.345164598827,47.6193596557764,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,53134,7,1,6,-122.344848491468,47.6195633211482,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,53134,7,1,6,-122.344847912428,47.6188420205214,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,53137,17,0,17,-122.3451529985,47.620056801059,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,53138,18,5,13,-122.344828569664,47.6200022045379,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,56345,7,8,0,-122.345588917079,47.6198252572581,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,56346,3,4,0,-122.34573207577,47.6196393536138,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,58381,18,16,2,-122.346460765393,47.6201565250716,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,58382,26,18,8,-122.346124710418,47.6200964307749,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,79021,3,3,0,-122.344429019023,47.6198210239641,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 15:00:00,79022,6,4,2,-122.344470862351,47.6196347533188,1.5,79.59,63.66,15,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 16:00:00,11133,7,7,0,-122.348131248806,47.6198152776076,1.5,79.56,63.34,16,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 16:00:00,11134,3,3,0,-122.348443468901,47.6196683754978,1.5,79.56,63.34,16,Wednesday
AlaskanWayViaduct_KingSt,2016-04-06 16:00:00,33741,4,4,0,-122.347159748898,47.6198199748662,1.5,79.56,63.34,16,Wednesday
