WeatherStationName	DateTime	ParkingStationId	TotalParkingSpaces	VehicleParked	AvailableSpaces	Long	Lat	HourlyRate	RoadSurfaceTemperature	AirTemperature	Time	Weekday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	11133	7	5	2	-122.3481312	47.61981528	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	11134	3	3	0	-122.3484435	47.61966838	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	33741	4	2	2	-122.3471597	47.61981997	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	33742	8	1	7	-122.3470278	47.61965501	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	35693	7	7	0	-122.3464558	47.61931644	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	35693	7	7	0	-122.3464585	47.61899892	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	35694	6	3	3	-122.3461521	47.61926048	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	51493	5	3	2	-122.3490554	47.61906985	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	51494	18	11	7	-122.3487857	47.61896152	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	53133	11	3	8	-122.3451646	47.61935966	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	53134	7	3	4	-122.3448485	47.61956332	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	53134	7	3	4	-122.3448479	47.61884202	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	53137	17	4	13	-122.345153	47.6200568	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	53138	18	6	12	-122.3448286	47.6200022	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	56345	7	5	2	-122.3455889	47.61982526	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	56346	3	0	3	-122.3457321	47.61963935	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	58381	18	3	15	-122.3464608	47.62015653	1.5	54.03	53.48	8	Wednesday
AlaskanWayViaduct_KingSt	4/6/2016 8:00	58382	26	0	26	-122.3461247	47.62009643	1.5	54.03	53.48	8	Wednesday
